Time,J
0.1831831831831832,-2.5405166
0.1841841841841842,-2.529655
0.18518518518518517,-2.518976
0.18618618618618618,-2.5084708
0.1871871871871872,-2.498128
0.1881881881881882,-2.4879553
0.1891891891891892,-2.477942
0.19019019019019018,-2.4680865
0.19119119119119118,-2.458386
0.1921921921921922,-2.4488401
0.1931931931931932,-2.4394295
0.1941941941941942,-2.4301639
0.19519519519519518,-2.4210327
0.1961961961961962,-2.4120486
0.1971971971971972,-2.4031987
0.1981981981981982,-2.3944743
0.1991991991991992,-2.3858652
0.20020020020020018,-2.377388
0.2012012012012012,-2.3690307
0.2022022022022022,-2.3607943
0.2032032032032032,-2.3526673
0.2042042042042042,-2.344656
0.20520520520520522,-2.336763
0.2062062062062062,-2.328976
0.2072072072072072,-2.3213015
0.2082082082082082,-2.313726
0.2092092092092092,-2.3062625
0.21021021021021022,-2.2988887
0.2112112112112112,-2.291619
0.2122122122122122,-2.2844498
0.2132132132132132,-2.2773657
0.21421421421421422,-2.2703838
0.21521521521521522,-2.2634983
0.21621621621621623,-2.2566988
0.2172172172172172,-2.2499871
0.2182182182182182,-2.243363
0.21921921921921922,-2.236823
0.22022022022022023,-2.2303703
0.22122122122122123,-2.2240002
0.2222222222222222,-2.2177181
0.22322322322322322,-2.211514
0.22422422422422422,-2.205383
0.22522522522522523,-2.199334
0.22622622622622623,-2.1933565
0.2272272272272272,-2.187451
0.22822822822822822,-2.1816304
0.22922922922922923,-2.1758733
0.23023023023023023,-2.170193
0.23123123123123124,-2.1645727
0.23223223223223222,-2.1590247
0.23323323323323322,-2.153551
0.23423423423423423,-2.1481369
0.23523523523523523,-2.142796
0.23623623623623624,-2.137518
0.23723723723723725,-2.1323066
0.23823823823823823,-2.1271486
0.23923923923923923,-2.122062
0.24024024024024024,-2.1170287
0.24124124124124124,-2.11206
0.24224224224224225,-2.1071408
0.24324324324324323,-2.1022904
0.24424424424424424,-2.0974894
0.24524524524524524,-2.0927415
0.24624624624624625,-2.088052
0.24724724724724725,-2.08343
0.24824824824824826,-2.0788417
0.24924924924924924,-2.0743093
0.2502502502502503,-2.0698326
0.25125125125125125,-2.06541
0.25225225225225223,-2.0610316
0.25325325325325326,-2.056711
0.25425425425425424,-2.0524323
0.2552552552552553,-2.0481954
0.25625625625625625,-2.0440202
0.25725725725725723,-2.0398726
0.25825825825825827,-2.0357797
0.25925925925925924,-2.0317283
0.2602602602602603,-2.0277214
0.26126126126126126,-2.023757
0.26226226226226224,-2.0198336
0.26326326326326327,-2.0159638
0.26426426426426425,-2.0121324
0.2652652652652653,-2.0083416
0.26626626626626626,-2.0045826
0.26726726726726724,-2.0008764
0.2682682682682683,-1.9971979
0.26926926926926925,-1.9935583
0.2702702702702703,-1.9899606
0.27127127127127126,-1.9863993
0.27227227227227224,-1.9828748
0.2732732732732733,-1.9793764
0.27427427427427425,-1.9759349
0.2752752752752753,-1.9725095
0.27627627627627627,-1.9691288
0.2772772772772773,-1.9657763
0.2782782782782783,-1.9624709
0.27927927927927926,-1.9591801
0.2802802802802803,-1.9559282
0.28128128128128127,-1.952702
0.2822822822822823,-1.9495227
0.2832832832832833,-1.9463606
0.28428428428428426,-1.9432367
0.2852852852852853,-1.9401454
0.2862862862862863,-1.9370797
0.2872872872872873,-1.9340388
0.2882882882882883,-1.9310302
0.28928928928928926,-1.9280549
0.2902902902902903,-1.9251034
0.2912912912912913,-1.9221839
0.2922922922922923,-1.9192784
0.2932932932932933,-1.9164133
0.29429429429429427,-1.9135802
0.2952952952952953,-1.9107648
0.2962962962962963,-1.9079717
0.2972972972972973,-1.9052076
0.2982982982982983,-1.9024665
0.29929929929929927,-1.8997581
0.3003003003003003,-1.8970629
0.3013013013013013,-1.8943901
0.3023023023023023,-1.8917565
0.3033033033033033,-1.8891363
0.30430430430430433,-1.886536
0.3053053053053053,-1.883964
0.3063063063063063,-1.8814069
0.3073073073073073,-1.8788885
0.3083083083083083,-1.8763757
0.30930930930930933,-1.873892
0.3103103103103103,-1.8714211
0.3113113113113113,-1.8689725
0.3123123123123123,-1.8665557
0.3133133133133133,-1.8641526
0.31431431431431434,-1.8617696
0.3153153153153153,-1.8594028
0.3163163163163163,-1.8570551
0.3173173173173173,-1.854738
0.3183183183183183,-1.8524258
0.31931931931931934,-1.8501353
0.3203203203203203,-1.8478647
0.3213213213213213,-1.8456192
0.32232232232232233,-1.843384
0.3233233233233233,-1.8411664
0.32432432432432434,-1.8389682
0.3253253253253253,-1.8367969
0.3263263263263263,-1.834633
0.32732732732732733,-1.8324866
0.3283283283283283,-1.8303546
0.32932932932932935,-1.8282467
0.3303303303303303,-1.826149
0.3313313313313313,-1.8240645
0.33233233233233234,-1.82201
