,Time,J_0,J_1,J_2
139,0.13913913913913914,3.6337093990296125,3.437485910952091,3.4783274922519922
140,0.14014014014014015,3.5957526471465826,3.397118765860796,3.4398711435496807
141,0.14114114114114115,3.558940315619111,3.35858497582376,3.4033530596643686
142,0.14214214214214213,3.5231450647115707,3.320986621081829,3.3685530740767717
143,0.14314314314314314,3.4887518007308245,3.284983668476343,3.333287626504898
144,0.14414414414414414,3.4552345033735037,3.2503027748316526,3.3016374818980694
145,0.14514514514514515,3.4226787090301514,3.216803304851055,3.269434191286564
146,0.14614614614614616,3.3912201020866632,3.1844924241304398,3.2387875355780125
147,0.14714714714714713,3.360486591234803,3.1532673873007298,3.2094860393553972
148,0.14814814814814814,3.330584589391947,3.1229141242802143,3.1790320575237274
149,0.14914914914914915,3.301641657948494,3.093505375087261,3.152431407943368
150,0.15015015015015015,3.2734154108911753,3.0651002172380686,3.1251302659511566
151,0.15115115115115116,3.2460705656558275,3.0377076771110296,3.0987501610070467
152,0.15215215215215216,3.2193135898560286,3.0108784064650536,3.0729322750121355
153,0.15315315315315314,3.193291772156954,2.9849532544612885,3.0479412525892258
154,0.15415415415415415,3.1679125521332026,2.9597865249961615,3.0230187959969044
155,0.15515515515515516,3.1431013233959675,2.9351340420544147,2.999428264796734
156,0.15615615615615616,3.119119830429554,2.9115724209696054,2.9766062162816525
157,0.15715715715715717,3.0954947657883167,2.888243827968836,2.9536738991737366
158,0.15815815815815815,3.0725545790046453,2.8656713981181383,2.932177670300007
159,0.15915915915915915,3.0500314254313707,2.8437153678387403,2.9117657765746117
160,0.16016016016016016,3.028222007676959,2.822445994243026,2.8899175692349672
161,0.16116116116116116,3.00680866651237,2.801400063559413,2.8700958136469126
162,0.16216216216216217,2.985860552638769,2.78112911619246,2.8503717184066772
163,0.16316316316316315,2.9655041452497244,2.761337138712406,2.8301154784858227
164,0.16416416416416416,2.945528421550989,2.7419500444084406,2.8119457848370075
165,0.16516516516516516,2.9259464982897043,2.723131636157632,2.79332691244781
166,0.16616616616616617,2.9067303631454706,2.704724522307515,2.775596246123314
167,0.16716716716716717,2.888144016265869,2.68659077771008,2.757465362548828
168,0.16816816816816815,2.8699414618313313,2.669107163324952,2.7397852651774883
169,0.16916916916916916,2.852055609226227,2.651933467015624,2.7231848780065775
170,0.17017017017017017,2.8346120938658714,2.635259158909321,2.707348022609949
171,0.17117117117117117,2.817396877333522,2.6188067365437746,2.6909132953733206
172,0.17217217217217218,2.80051152408123,2.6029169112443924,2.6747898794710636
173,0.17317317317317318,2.7842282373458147,2.5871050506830215,2.659730752930045
174,0.17417417417417416,2.768075291067362,2.5716865099966526,2.644553614780307
175,0.17517517517517517,2.7523388732224703,2.5568422582000494,2.6298497579991817
176,0.17617617617617617,2.7367730643600225,2.541970256716013,2.6158680971711874
177,0.17717717717717718,2.721758058294654,2.527496661990881,2.601206848397851
178,0.1781781781781782,2.706726338714361,2.513563407585025,2.587118783965707
179,0.17917917917917917,2.692245975136757,2.499755499884486,2.573684971779585
180,0.18018018018018017,2.6779396776109934,2.486164903268218,2.560841416940093
181,0.18118118118118118,2.663992416113615,2.4729667212814093,2.547876348719001
182,0.18218218218218218,2.6502472274005413,2.4599950164556503,2.534483950585127
183,0.1831831831831832,2.6367034930735826,2.447139758616686,2.5221293568611145
184,0.1841841841841842,2.6235208064317703,2.434682594612241,2.5090760309249163
185,0.18518518518518517,2.6105214059352875,2.4224851857870817,2.497902747243643
186,0.18618618618618618,2.597739903256297,2.4104221556335688,2.4864232130348682
187,0.1871871871871872,2.585284585133195,2.3987195212394,2.474369263276458
188,0.1881881881881882,2.572905955836177,2.387183776125312,2.4627637211233377
189,0.1891891891891892,2.560894837602973,2.3755930196493864,2.450442945584655
190,0.19019019019019018,2.5490547362715006,2.3645300157368183,2.4399895891547203
191,0.19119119119119118,2.537259828299284,2.3536116778850555,2.429183902218938
192,0.1921921921921922,2.525837190449238,2.34291223436594,2.418962426483631
193,0.1931931931931932,2.514521999284625,2.332259964197874,2.408498503267765
194,0.1941941941941942,2.5034842249006033,2.32191620208323,2.397244332358241
195,0.19519519519519518,2.492681212723255,2.311696710065007,2.3880807757377625
196,0.1961961961961962,2.4819169528782368,2.3016240522265434,2.3779131192713976
197,0.1971971971971972,2.4713473469018936,2.2919546458870173,2.367959814146161
198,0.1981981981981982,2.4609358087182045,2.2820653300732374,2.3585839942097664
199,0.1991991991991992,2.4507616721093655,2.272624935954809,2.348434979096055
200,0.20020020020020018,2.440754232928157,2.2633002307265997,2.3395501915365458
201,0.2012012012012012,2.430884949862957,2.254001248627901,2.330019311979413
202,0.2022022022022022,2.4211682491004467,2.2449978087097406,2.3203179221600294
203,0.2032032032032032,2.4116930291056633,2.2361729089170694,2.312976086512208
204,0.2042042042042042,2.40224046446383,2.2272093314677477,2.303224889561534
205,0.20520520520520522,2.392916927114129,2.218466503545642,2.2959291599690914
206,0.2062062062062062,2.3839312344789505,2.210227243602276,2.2859469931572676
207,0.2072072072072072,2.3748424872756004,2.201873967424035,2.277721608057618
208,0.2082082082082082,2.3659689966589212,2.1935371179133654,2.270231144502759
209,0.2092092092092092,2.3572743609547615,2.1854766085743904,2.261382320895791
210,0.21021021021021022,2.3487459272146225,2.1773792430758476,2.2537946067750454
211,0.2112112112112112,2.3402404002845287,2.1694007050246,2.24525841511786
212,0.2122122122122122,2.331780780106783,2.1616986710578203,2.2376795634627342
213,0.2132132132132132,2.323664426803589,2.1541189569979906,2.230685668066144
214,0.21421421421421422,2.3154248632490635,2.146483391523361,2.2226066570729017
215,0.21521521521521522,2.3074916917830706,2.138952722772956,2.215646969154477
216,0.21621621621621623,2.2995604779571295,2.1317789684981108,2.2077601328492165
217,0.2172172172172172,2.291858345270157,2.1244215723127127,2.200307684019208
218,0.2182182182182182,2.2840908523648977,2.117329753935337,2.193776834756136
219,0.21921921921921922,2.276503950357437,2.1103812847286463,2.186121156439185
220,0.22022022022022023,2.269112152978778,2.1033089347183704,2.1793850250542164
221,0.22122122122122123,2.2617215793579817,2.096513980999589,2.1721162274479866
222,0.2222222222222222,2.2544449474662542,2.0896874982863665,2.165615901350975
223,0.22322322322322322,2.24726808257401,2.0830914601683617,2.159576006233692
224,0.22422422422422422,2.240157501772046,2.0764134358614683,2.1524535473436117
225,0.22522522522522523,2.2331099081784487,2.069858655333519,2.1462580040097237
226,0.22622622622622623,2.226133434101939,2.0635753218084574,2.1389140002429485
227,0.2272272272272272,2.21933725848794,2.057099958881736,2.133572746068239
228,0.22822822822822822,2.212590927258134,2.051030483096838,2.1271301303058863
229,0.22922922922922923,2.205944001674652,2.0447418661788106,2.1202364824712276
230,0.23023023023023023,2.199329547584057,2.0385767351835966,2.1142941247671843
231,0.23123123123123124,2.1928315348923206,2.032610003836453,2.107931846752763
232,0.23223223223223222,2.1863660775125027,2.026620606891811,2.1023687310516834
233,0.23323323323323322,2.180035436525941,2.0207260381430387,2.096569634974003
234,0.23423423423423423,2.1737593729048967,2.0149881606921554,2.0901644695550203
235,0.23523523523523523,2.167530946433544,2.009114220738411,2.08451609313488
236,0.23623623623623624,2.1613934002816677,2.0035717329010367,2.079021039418876
237,0.23723723723723725,2.155286317691207,1.9978615352883935,2.0733205899596214
238,0.23823823823823823,2.1494070179760456,1.992404354736209,2.067472957074642
239,0.23923923923923923,2.1433886904269457,1.986673317849636,2.061664065346122
240,0.24024024024024024,2.1375731471925974,1.9813423547893763,2.056678413413465
241,0.24124124124124124,2.1317364014685154,1.9761091796681285,2.050854961387813
242,0.24224224224224225,2.1259719748049974,1.970680970698595,2.0458816569298506
243,0.24324324324324323,2.120450746268034,1.965575521811843,2.0404420141130686
244,0.24424424424424424,2.1147127095609903,1.9603912895545363,2.0344636598601937
245,0.24524524524524524,2.1091784220188856,1.9550723442807794,2.0298628760501742
246,0.24624624624624625,2.1037123315036297,1.9500982044264674,2.0249337116256356
247,0.24724724724724725,2.0982593838125467,1.944997333921492,2.019772498868406
248,0.24824824824824826,2.092906765639782,1.9400623012334108,2.014151464216411
249,0.24924924924924924,2.087508413940668,1.935134788043797,2.0091474084183574
250,0.2502502502502503,2.0821965150535107,1.93018255289644,2.0046040266752243
251,0.25125125125125125,2.0770187973976135,1.9252693755552173,1.9996404461562634
252,0.25225225225225223,2.07191969640553,1.920508305542171,1.9949546102434397
253,0.25325325325325326,2.066694149747491,1.9159257803112268,1.9899363005533814
254,0.25425425425425424,2.0616954509168863,1.9111150642856956,1.9848050475120544
255,0.2552552552552553,2.056651061400771,1.9065364925190806,1.9805919649079442
256,0.25625625625625625,2.0517401434481144,1.9019163316115737,1.9752881256863475
