Time,Potential,J_0,J_1,J_2
0.91,0.9000000000000004,-0.949886517599225,-0.928726589307189,-0.9510660963132977
0.92,0.7999999999999989,-1.010917842388153,-0.9894552659243345,-1.0121236694976687
0.93,0.6999999999999993,-1.072565158829093,-1.0515898000448942,-1.0735698956996202
0.9400000000000001,0.5999999999999996,-1.1347565287724137,-1.1146741500124335,-1.135767006315291
0.9500000000000001,0.5,-1.1968240812420845,-1.1781230876222253,-1.197901058010757
0.96,0.40000000000000036,-1.2587088011205196,-1.2413794258609414,-1.2599134594202042
0.97,0.3000000000000007,-1.3198239393532276,-1.303751834668219,-1.3214471898972988
0.98,0.1999999999999993,-1.3799998490139842,-1.364463271573186,-1.3815503790974617
0.99,0.09999999999999964,-1.4384627044200897,-1.4230085015296936,-1.440162573941052
1.0,0.0,-1.4948342824354768,-1.4786470830440521,-1.495822369121015
1.01,-0.09999999999999964,-1.548566552810371,-1.5308782272040844,-1.5491644274443388
1.02,-0.1999999999999993,-1.5992780001834035,-1.5793863954022527,-1.598878126591444
1.03,-0.3000000000000007,-1.6464299838989973,-1.6238598618656397,-1.6446298900991678
1.04,-0.40000000000000036,-1.689902680926025,-1.6644397331401706,-1.6859995489940047
1.05,-0.5,-1.7293678717687726,-1.700938068330288,-1.7226730287075043
1.06,-0.6000000000000014,-1.7648978549987078,-1.733451490290463,-1.7559868041425943
1.07,-0.7000000000000011,-1.7964702136814594,-1.7624325985088944,-1.7853171173483133
1.08,-0.8000000000000007,-1.824096417054534,-1.787951990030706,-1.811131700873375
1.09,-0.9000000000000004,-1.8481240253895521,-1.8102470058947802,-1.8333550859242678
1.1,-1.0,-1.8684183154255152,-1.8294830340892076,-1.8529683127999306
1.11,-1.1000000000000014,-1.8855439852923155,-1.8457436300814152,-1.8695521336048841
1.12,-1.200000000000001,-1.8991738222539425,-1.8592063523828983,-1.883140092715621
1.1300000000000001,-1.3000000000000007,-1.9097388572990894,-1.8697615936398506,-1.8937981631606817
1.1400000000000001,-1.4000000000000021,-1.9170563500374556,-1.8775585312396288,-1.901772702112794
1.1500000000000001,-1.5000000000000018,-1.9214398972690105,-1.8823960982263088,-1.9072932843118906
1.16,-1.5999999999999996,-1.922811258584261,-1.884486885741353,-1.9098423775285482
1.17,-1.6999999999999993,-1.921256436035037,-1.8836924377828836,-1.9100562799721956
1.18,-1.799999999999999,-1.9171783421188593,-1.8801755718886852,-1.9073608983308077
1.19,-1.8999999999999986,-1.910627868026495,-1.8742156736552715,-1.9019785840064287
1.2,-2.0,-1.901867650449276,-1.865838197991252,-1.8944363947957754
1.21,-2.0999999999999996,-1.8911650236696005,-1.8555119261145592,-1.884692320600152
1.22,-2.1999999999999993,-1.87888372130692,-1.8434039801359177,-1.873245943337679
1.23,-2.3000000000000007,-1.8652534913271666,-1.8297712802886963,-1.8600886818021536
1.24,-2.4000000000000004,-1.850464303046465,-1.814937469549477,-1.8456666730344296
1.25,-2.5,-1.8348860628902912,-1.799183183349669,-1.8304937817156315
1.26,-2.5999999999999996,-1.8187500452622771,-1.7827567178755999,-1.8147496785968542
1.27,-2.6999999999999993,-1.8021797183901072,-1.7658198671415448,-1.798267095349729
1.28,-2.8000000000000007,-1.7854083217680454,-1.7486737305298448,-1.7815247997641563
1.29,-2.9000000000000004,-1.7685414319857955,-1.731448662467301,-1.7643870627507567
1.3,-3.0,-1.7517008874565363,-1.7141548627987504,-1.7475198544561863
1.31,-3.1000000000000014,-1.7350111920386553,-1.697050677612424,-1.7307675257325172
1.32,-3.200000000000001,-1.7185110338032246,-1.6801932239905,-1.7139332806691527
1.33,-3.3000000000000007,-1.7023237999528646,-1.6636524209752679,-1.6973277358338237
1.34,-3.4000000000000004,-1.6864452064037323,-1.647442621178925,-1.6811277735978365
1.35,-3.5,-1.6710009165108204,-1.6317633297294378,-1.665494330227375
1.36,-3.6000000000000014,-1.6558388276025653,-1.6164000406861305,-1.6498840805143118
1.37,-3.700000000000001,-1.6410966934636235,-1.601405257359147,-1.6353499302640557
1.3800000000000001,-3.8000000000000007,-1.6267704665660858,-1.5869777435436845,-1.6204782659187913
1.3900000000000001,-3.900000000000002,-1.6129044918343425,-1.5730984983965755,-1.6062476681545377
1.4000000000000001,-4.000000000000002,-1.5994235156103969,-1.5594838233664632,-1.5921809021383524
1.41,-4.1,-1.586398177780211,-1.5464578904211521,-1.5790667459368706
1.42,-4.199999999999999,-1.5737406639382243,-1.5338258957490325,-1.5661815339699388
1.43,-4.299999999999999,-1.5615082643926144,-1.5216621300205588,-1.5536136105656624
1.44,-4.399999999999999,-1.5496366331353784,-1.5098695009946823,-1.5416732439771295
1.45,-4.5,-1.5381627893075347,-1.4985279040411115,-1.5297062871977687
1.46,-4.6,-1.527103416621685,-1.4876011842861772,-1.518758775666356
1.47,-4.699999999999999,-1.516402244567871,-1.4769811509177089,-1.5078964084386826
1.48,-4.800000000000001,-1.5060313371941447,-1.466812047176063,-1.4972991393879056
1.49,-4.9,-1.4960174364969134,-1.4570276997983456,-1.4867953723296523
1.5,-5.0,-1.4862835304811597,-1.4475947236642241,-1.476977525278926
1.51,-5.1,-1.4768615625798702,-1.4384219078347087,-1.4676329111680388
1.52,-5.199999999999999,-1.4678164590150118,-1.4295550277456641,-1.458371913060546
1.53,-5.300000000000001,-1.4590134797617793,-1.4210631027817726,-1.4492869386449456
1.54,-5.4,-1.450449664145708,-1.4128156639635563,-1.440627501346171
1.55,-5.5,-1.4422174785286188,-1.4047985281795263,-1.4322045724838972
1.56,-5.600000000000001,-1.4342429526150227,-1.3971493253484368,-1.42434960603714
1.57,-5.700000000000001,-1.426483679562807,-1.3897509183734655,-1.416466323658824
1.58,-5.800000000000001,-1.4189677685499191,-1.3824826749041677,-1.4088672576472163
1.59,-5.9,-1.411703646183014,-1.3755368841812015,-1.401192463003099
1.6,-6.0,-1.4046535845845938,-1.3688142225146294,-1.393903817050159
1.61,-6.100000000000001,-1.3977633826434612,-1.3622292960062623,-1.3873158684000373
1.62,-6.200000000000003,-1.39107714779675,-1.355880898423493,-1.3805828811600804
1.6300000000000001,-6.300000000000001,-1.3846180997788906,-1.3498145826160908,-1.374125299975276
1.6400000000000001,-6.400000000000002,-1.3783015795052052,-1.3438579943031073,-1.367578212171793
1.6500000000000001,-6.5,-1.3722337894141674,-1.3380495514720678,-1.3613393334671855
1.6600000000000001,-6.600000000000001,-1.3662611758336425,-1.332441977225244,-1.3556000897660851
1.67,-6.699999999999999,-1.3605333175510168,-1.32701725512743,-1.3496801843866706
1.68,-6.800000000000001,-1.3548470819368958,-1.3217035699635744,-1.344019460491836
1.69,-6.899999999999999,-1.3493909174576402,-1.3165660556405783,-1.3381544267758727
1.7,-7.0,-1.3440281376242638,-1.3115630652755499,-1.332915567792952
1.71,-7.100000000000001,-1.3387981038540602,-1.3067160453647375,-1.3278076108545065
1.72,-7.199999999999999,-1.3337568389251828,-1.301969425752759,-1.3227539882063866
1.73,-7.300000000000001,-1.3288061572238803,-1.297417969442904,-1.3177225403487682
1.74,-7.399999999999999,-1.323966247960925,-1.2928860895335674,-1.3125178050249815
1.75,-7.5,-1.319250050932169,-1.2885037884116173,-1.3079507779330015
1.76,-7.600000000000001,-1.3146758722141385,-1.284193266183138,-1.3034680280834436
1.77,-7.699999999999999,-1.310156931169331,-1.280074741691351,-1.298870581202209
1.78,-7.800000000000001,-1.305741647258401,-1.2760077053681016,-1.294429825618863
1.79,-7.899999999999999,-1.3014126773923635,-1.2720775315538049,-1.2899174895137548
1.8,-8.0,-1.2971946075558662,-1.268167975358665,-1.2857817187905312
1.81,-8.100000000000001,-1.2931175464764237,-1.26434887945652,-1.281866429373622
1.82,-8.2,-1.2890353947877884,-1.2606945326551795,-1.277609933167696
1.83,-8.3,-1.2850973103195429,-1.2570651806890965,-1.273573406971991
1.84,-8.400000000000002,-1.2812243895605206,-1.2535326918587089,-1.2697955695912242
1.85,-8.5,-1.2774524092674255,-1.2500115362927318,-1.2657549567520618
1.86,-8.600000000000001,-1.2737186485901475,-1.2466415641829371,-1.262171931564808
1.87,-8.700000000000003,-1.2700432911515236,-1.243271879851818,-1.2586779091507196
1.8800000000000001,-8.8,-1.266475884243846,-1.2400332689285278,-1.2549773594364524
1.8900000000000001,-8.900000000000002,-1.2629721062257886,-1.236795585602522,-1.2512608729302883
1.9000000000000001,-9.0,-1.2595173232257366,-1.2336530154570937,-1.2480631107464433
1.9100000000000001,-9.100000000000001,-1.256096426397562,-1.23060199059546,-1.2446253839880228
1.92,-9.2,-1.2527602538466454,-1.2275222213938832,-1.2415175484493375
1.93,-9.3,-1.2495074849575758,-1.2245728243142366,-1.2377518340945244
1.94,-9.399999999999999,-1.2462918516248465,-1.2216330152004957,-1.234539789147675
1.95,-9.5,-1.2431097216904163,-1.2187749473378062,-1.2316899038851261
1.96,-9.600000000000001,-1.2399950362741947,-1.2159241205081344,-1.2282551601529121
1.97,-9.7,-1.236932234838605,-1.213111880235374,-1.2253816397860646
1.98,-9.8,-1.2338710222393274,-1.2103399112820625,-1.2220852747559547
1.99,-9.899999999999999,-1.2308672331273556,-1.2076660329475999,-1.219117951579392
2.0,-10.0,-1.2279397435486317,-1.2049828497692943,-1.2165368786081672
2.0100000000000002,-9.899999999999999,-1.2250288585200906,-1.2023513447493315,-1.2133327312767506
2.02,-9.8,-1.2221758151426911,-1.1997529063373804,-1.210648762062192
2.0300000000000002,-9.699999999999998,-1.219332119449973,-1.197145796380937,-1.2075129365548491
2.04,-9.6,-1.2165364865213633,-1.194609235972166,-1.2047500144690275
2.05,-9.500000000000002,-1.2138296524062753,-1.1921762116253376,-1.202236570417881
2.06,-9.399999999999999,-1.2110642567276955,-1.1896415948867798,-1.19934890139848
